majority_entry,population
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Adult,16200000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,6090000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Minor,11900000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Adult,143000000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Minor,68300000
Adult,16600000
Adult,16600000
Adult,16600000
Adult,16600000
Minor,16600000
Minor,16600000
Minor,16600000
Minor,16600000
Minor,16600000
Adult,16600000
Adult,16600000
Minor,16600000
Adult,16600000
Adult,16600000
Minor,143000000
Minor,143000000
Adult,143000000
